a4dc1548af,,11/09/1970,TSG-1200493,2013-12-07 15:27:00,71.7,3,23.9,White T-Shirt M
e8f6f7853c,91,01/31/1983,TSG-1200500,2014-01-22 08:28:00,19.9,1,19.9,Black T-Shirt M
5802162c20,46,06/05/1958,TSG-1200502,2014-03-22 21:07:00,19.9,1,19.9,Black T-Shirt F
67dc195843,92,12/30/1899,TSG-1200503,2014-09-07 09:03:00,16.7,1,16.7,Black T-Shirt M
7c52e0eab6,78,12/19/1981,TSG-1200505,2014-05-20 15:25:00,16.7,1,16.7,Black T-Shirt F
ef433d39c6,71,01/23/1991,TSG-1200508,2013-12-22 14:09:00,16.7,1,16.7,Black T-Shirt M
17b8b214b0,69,05/24/1982,TSG-1200509,2014-05-22 12:14:00,19.9,1,19.9,White T-Shirt M
1c3ddff940,70,01/05/1971,TSG-1200530,2013-12-05 19:45:00,19.9,1,19.9,Black T-Shirt F
61a7d084f5,75,02/11/1963,TSG-1200534,2013-12-15 15:05:00,33.4,2,16.7,Black T-Shirt M
61a7d084f5,75,02/11/1963,TSG-1200535,2013-12-15 15:05:00,33.4,2,16.7,Black T-Shirt M
ff971288b2,13,05/28/1973,TSG-1200538,2013-11-29 13:19:00,39.8,2,19.9,White T-Shirt M
d72e9b958a,75,12/16/1977,TSG-1200541,2014-02-10 14:22:00,25.0,1,25.0,Hoodie
87f89d1fe4,53,12/18/1950,TSG-1200545,2014-01-19 10:59:00,200.0,8,25.0,Hoodie
87f89d1fe4,53,12/18/1950,TSG-1200547,2014-01-19 10:59:00,200.0,8,25.0,Hoodie
23b5dae249,75,06/07/1977,TSG-1200552,2014-08-20 10:10:00,19.9,1,19.9,Hoodie
82c97f8fbc,13,04/04/1987,TSG-1200555,2013-12-21 20:42:00,75.0,3,25.0,Hoodie
1208f3603c,52,10/01/1959,TSG-1200560,2013-12-14 12:57:00,23.9,1,23.9,Hoodie
ce7bd68e91,49,02/01/1958,TSG-1200561,2014-03-12 10:03:00,217.1,13,16.7,Black T-Shirt M
50d150a385,93,06/07/1966,TSG-1200564,2014-05-30 21:01:00,16.7,1,16.7,Bk TShirt M
b25f411e02,84,12/30/1899,TSG-1200565,2014-08-14 23:53:00,19.9,1,19.9,Hoodie
eda2d9d70a,02,12/09/1979,TSG-1200566,2013-12-07 18:57:00,19.9,1,19.9,White T-Shirt M
c3a94ea2b0,85,06/24/1954,TSG-1200571,2013-12-12 19:21:00,33.4,2,16.7,Black T-Shirt F
68752ccdb7,56,12/30/1899,TSG-1200573,2014-05-28 19:02:00,16.7,1,16.7,Black T-Shirt M
c73d54ceb4,42,12/30/1899,TSG-1200574,2013-12-13 20:30:00,39.8,2,19.9,Hoodie
d458f3e372,67,02/11/1978,TSG-1200575,2013-12-06 21:44:00,25.0,1,25.0,Hoodie
8ad19a93d3,77,07/06/1977,TSG-1200580,2013-12-12 17:44:00,19.9,1,19.9,Hoodie
3dd642eabf,60,05/29/1985,TSG-1200586,2014-03-06 14:24:00,16.7,1,16.7,Black T-Shirt M
744e6b6b69,30,11/23/1966,TSG-1200587,2013-12-12 09:56:00,23.9,1,23.9,Hoodie
0c8850d2f7,13,01/09/1968,TSG-1200588,2014-05-27 11:19:00,23.9,1,23.9,Black T-Shirt F
0dbf9ac289,38,07/21/1979,TSG-1200590,2014-07-15 16:50:00,16.7,1,16.7,Black T-Shirt M
323f53ec46,13,06/07/1972,TSG-1200593,2014-06-07 21:48:00,25.0,1,25.0,Hoodie
0ff83e41eb,45,07/12/1980,TSG-1200596,2014-04-29 22:59:00,95.6,4,23.9,White T-Shirt M
a14684b3c2,88,09/20/1992,TSG-1200597,2013-12-15 13:15:00,19.9,1,19.9,White T-Shirt M
dd5e044d69,79,06/11/1972,TSG-1200600,2014-09-07 18:42:00,19.9,1,19.9,Bk TShirt M
5317ff75d9,40,02/28/1989,TSG-1200601,2014-10-26 17:04:00,19.9,1,19.9,White T-Shirt M
33e44f3d61,13,12/30/1899,TSG-1200610,2014-02-04 17:49:00,19.9,1,19.9,White T-Shirt M
107d82bec6,18,08/24/1963,TSG-1200615,2013-12-16 19:52:00,25.0,1,25.0,Hoodie
f2d8afa0eb,71,01/27/1957,TSG-1200617,2013-12-05 16:23:00,23.9,1,23.9,White T-Shirt M
96ebf96df2,92,05/12/1965,TSG-1200621,2014-01-12 21:34:00,19.9,1,19.9,Hoodie
54dedcf486,45,07/29/1990,TSG-1200623,2014-02-05 15:42:00,23.9,1,23.9,Tennis Shirt
3b1a3d1f80,30,09/21/1943,TSG-1200627,2014-03-21 16:31:00,19.9,1,19.9,Hoodie
a34623fabf,59,01/27/1988,TSG-1200631,2013-12-30 22:56:00,33.4,2,16.7,Black T-Shirt F
8a2f7c6e4c,45,10/27/1945,TSG-1200632,2014-05-25 14:03:00,16.7,1,16.7,White T-Shirt M
6c69226614,62,08/10/1980,TSG-1200633,2014-05-26 21:42:00,16.7,1,16.7,White T-Shirt F
a01de4cac3,57,11/15/1966,TSG-1200635,2013-12-02 16:24:00,25.0,1,25.0,White T-Shirt M
a9206a94c0,13,11/12/1984,TSG-1200645,2013-12-28 17:35:00,19.9,1,19.9,Black T-Shirt M
00bdf912c4,61,09/18/1972,TSG-1200648,2013-12-17 18:37:00,32.0,1,32.0,Hoodie
179a7fa5fb,75,06/11/1986,TSG-1200649,2014-07-06 09:36:00,19.9,1,19.9,White T-Shirt M
646eb92052,74,08/25/1958,TSG-1200651,2013-12-20 12:53:00,39.8,2,19.9,White T-Shirt M
31c8e83fa5,78,11/19/1986,TSG-1200652,2013-12-09 19:42:00,23.9,1,23.9,White T-Shirt M
9c5aadb0c2,04,05/26/1965,TSG-1200654,2013-12-07 09:24:00,50.0,2,25.0,Hoodie
1d51c9e033,75,11/28/1991,TSG-1200655,2013-12-22 12:07:00,16.7,1,16.7,Bk TShirt M
364b971135,38,03/15/1992,TSG-1200664,2014-02-15 18:39:00,16.7,1,16.7,White T-Shirt F
4af00ddbca,21,12/30/1899,TSG-1200667,2013-12-30 19:55:00,16.7,1,16.7,Bk TShirt M
20391b0046,86,06/14/1954,TSG-1200669,2014-06-05 17:59:00,23.9,1,23.9,Black T-Shirt F
70dc2af2de,06,06/12/1966,TSG-1200670,2013-12-22 21:09:00,16.7,1,16.7,Black T-Shirt F
fd030c2ed2,13,09/06/1986,TSG-1200671,2013-12-04 18:22:00,19.9,1,19.9,Black T-Shirt F
40b5a2eeae,92,05/26/1980,TSG-1200674,2014-05-29 00:08:00,16.7,1,16.7,Black T-Shirt F
1a23b835fb,28,12/23/1989,TSG-1200675,2013-12-10 21:13:00,16.7,1,16.7,Black T-Shirt M
3de2c07555,91,12/05/1948,TSG-1200677,2013-12-15 16:00:00,23.9,1,23.9,White T-Shirt F
fb8604b0a6,63,07/09/1952,TSG-1200678,2013-12-18 11:33:00,25.0,1,25.0,Tennis Shirt
c3d823c5ac,45,07/22/1975,TSG-1200680,2013-12-21 15:07:00,25.0,1,25.0,Hoodie
ac285cfb88,44,12/29/1972,TSG-1200682,2014-06-18 22:46:00,19.9,1,19.9,White T-Shirt F
6ef4de836b,50,03/18/1991,TSG-1200686,2013-12-01 12:44:00,19.9,1,19.9,Hoodie
1efdabf5e9,76,12/30/1899,TSG-1200687,2013-12-04 20:21:00,16.7,1,16.7,Bk TShirt M
eb38117368,31,12/30/1899,TSG-1200692,2014-06-13 10:24:00,19.9,1,19.9,Hoodie
c5c16f4f13,73,01/07/1991,TSG-1200695,2014-05-18 09:58:00,25.0,1,25.0,Hoodie
493067ec34,32,02/28/1981,TSG-1200698,2013-11-30 21:47:00,16.7,1,16.7,Black T-Shirt F
17a13d04f5,71,10/25/1970,TSG-1200703,2014-09-27 12:30:00,16.7,1,16.7,Bk TShirt M
6492c9ca1a,31,09/22/1971,TSG-1200707,2013-11-29 15:55:00,23.9,1,23.9,Hoodie
f4bc31829c,,09/30/1978,TSG-1200712,2013-12-08 14:38:00,39.8,2,19.9,Hoodie
0e05252c1c,77,12/30/1899,TSG-1200714,2014-06-13 19:43:00,19.9,1,19.9,White T-Shirt M
e57ed139fe,13,05/12/1973,TSG-1200716,2013-12-13 21:48:00,25.0,1,25.0,Hoodie
